step,bottleneck_H0,wasserstein_H0,bottleneck_H1,wasserstein_H1,bottleneck_H2,wasserstein_H2,nsig_H0,nsig_H1,nsig_H2,chamfer,handle_height
0,0.0,0.0,0.0,0.0,0.011008,0.011008,1,0,1,0.7253,0.02
1,0.0,0.0,0.0,0.0,0.003824,0.003826,1,0,1,0.7273,0.0487
2,0.0,0.0,0.0,0.0,0.001815,0.001822,1,0,1,0.7469,0.0773
3,0.0,0.0,0.0,0.0,0.000656,0.000886,1,0,1,0.7838,0.106
4,0.0,0.0,0.006798,0.009613,0.000412,0.000571,1,0,1,0.815,0.1347
5,0.0,0.0,0.010768,0.015228,0.00076,0.000778,1,0,1,0.8511,0.1633
6,0.0,0.0,0.014809,0.020943,0.000978,0.001111,1,0,1,0.8957,0.192
7,0.0,0.0,0.018537,0.026216,0.000909,0.000928,1,1,1,0.9496,0.2207
8,0.0,0.0,0.022521,0.03185,0.000617,0.000819,1,1,1,1.0129,0.2493
9,0.0,0.0,0.026272,0.037155,0.000728,0.000756,1,1,1,1.0629,0.278
10,0.0,0.0,0.030005,0.042434,0.000731,0.000756,1,1,1,1.134,0.3067
11,0.0,0.0,0.032444,0.045882,0.00031,0.00032,1,1,1,1.2118,0.3353
12,0.0,0.0,0.034287,0.04849,0.000804,0.00099,1,1,1,1.2918,0.364
13,0.0,0.0,0.036214,0.051214,0.000565,0.000751,1,1,1,1.3825,0.3927
14,0.0,0.0,0.037197,0.052605,0.000394,0.00048,1,1,1,1.4848,0.4213
15,0.0,0.0,0.037329,0.052791,0.000356,0.000489,1,1,1,1.5736,0.45
